,title,subtitle,link
69,ARSENAL LIVE,"Gunners make Rice 'proposal', Saka and Odegaard 'new contracts', Saliba BATTLE",https://www.thesun.co.uk/sport/22225429/arsenal-transfer-news-live-declan-rice-bukayo-saka-latest/
70,GIANT LEIP,Man City lining up £85m transfer for World Cup star as outcast could quit club,https://www.thesun.co.uk/sport/22406029/manchester-city-world-cup-rb-leipzig-josko-gvardiol/
71,AMERICAN PAY,MLS salaries released with three ex-PL stars in top 10 including Man Utd hero,https://www.thesun.co.uk/sport/22390759/mls-salaries-top-ten-man-utd/
72,IN-CAR-REDIBLE,Carson on track to equal Maldini and Costacurta's Champions League record,https://www.thesun.co.uk/sport/22403884/scott-carson-maldini-costacurta-champions-league-record-man-city/
73,RED DEVIL,Evra involved in heated altercation with Man City staff after Real Madrid win,https://www.thesun.co.uk/sport/22395567/evra-man-city-champions-league/
74,NIGHT-MAR,Ex-Man Utd flop Di Maria leaves Juventus fans fuming after embarrassing howler,https://www.thesun.co.uk/sport/22411136/angel-di-maria-embarrassing-howler-juventus/
75,TONE DEAF,"Toney could leave Brentford for £80m despite eight-month ban, ex-England ace says",https://www.thesun.co.uk/sport/22400517/ivan-toney-suspension-betting-transfer-brentford-fee/
76,FAMILIAR FOXES,Leicester remind me of my Watford XI that went down - it's the subtle things,https://www.thesun.co.uk/sport/22341039/leicester-remind-me-watford-troy-deeney/
77,KARREN BRADY,PSG in a right Messi with expensive publicity stunt with Ronaldo edging closer,https://www.thesun.co.uk/sport/22343332/karren-brady-lionel-messi-psg-saudi-arabia/
78,DAVE KIDD,Ratcliffe will be Ten Hag's preferred bidder - as long as he's opposite to Boehly,https://www.thesun.co.uk/sport/22332168/jim-ratcliffe-ten-hag-man-utd-todd-boehly-chelsea/
79,'STUNNING',Fans say Inter reporter pics should be 'illegal' as she wows in revealing outfit,https://www.thesun.co.uk/sport/22389100/fans-say-inter-reporter-eva-gini-pics-illegal/
80,GEOR DROPPING,Ronaldo's Wag Georgina Rodriguez perfects twerking skills in slow-motion clip,https://www.thesun.co.uk/sport/22389326/cristiano-ronaldo-wag-georgina-rodriguez-twerking/
81,WINNING FEELING,Porn star Eva Elfie gives Barcelona stars an eyeful during title parade,https://www.thesun.co.uk/sport/22385840/eva-elfie-barcelona-title-parade/
